-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER Source Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST,,,,,,,,,,,,,,
Location: Latitude  12.9716   Longitude 77.5946 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 841.72 meters,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
GWETROOT        MERRA-2 Root Zone Soil Wetness (1) ,,,,,,,,,,,,,,
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,,,,,,
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
T2M             MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,,,,,,,,
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,,,,,,,,
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) ,,,,,,,,,,,,,,
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) ,,,,,,,,,,,,,,
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETROOT,2000,0.51,0.49,0.49,0.49,0.5,0.53,0.54,0.68,0.68,0.82,0.72,0.6,0.59
GWETROOT,2001,0.53,0.48,0.48,0.58,0.59,0.54,0.55,0.59,0.62,0.78,0.7,0.59,0.59
GWETROOT,2002,0.53,0.49,0.48,0.48,0.52,0.63,0.58,0.55,0.54,0.6,0.59,0.52,0.54
GWETROOT,2003,0.48,0.48,0.48,0.49,0.49,0.51,0.53,0.57,0.58,0.63,0.59,0.52,0.53
GWETROOT,2004,0.49,0.48,0.47,0.49,0.58,0.63,0.7,0.68,0.73,0.75,0.68,0.57,0.6
GWETROOT,2005,0.51,0.48,0.48,0.51,0.52,0.61,0.61,0.65,0.78,0.9,0.94,0.83,0.65
GWETROOT,2006,0.69,0.57,0.54,0.5,0.54,0.6,0.59,0.55,0.55,0.54,0.56,0.51,0.56
GWETROOT,2007,0.48,0.48,0.48,0.51,0.55,0.57,0.6,0.71,0.82,0.81,0.79,0.67,0.62
GWETROOT,2008,0.58,0.52,0.51,0.51,0.5,0.58,0.63,0.73,0.86,0.79,0.72,0.66,0.63
GWETROOT,2009,0.56,0.5,0.48,0.49,0.52,0.62,0.57,0.59,0.67,0.7,0.62,0.56,0.57
GWETROOT,2010,0.51,0.48,0.48,0.51,0.54,0.59,0.59,0.63,0.68,0.71,0.74,0.67,0.59
GWETROOT,2011,0.56,0.5,0.48,0.51,0.54,0.53,0.52,0.57,0.58,0.59,0.56,0.51,0.54
GWETROOT,2012,0.49,0.48,0.47,0.48,0.51,0.49,0.51,0.52,0.55,0.56,0.56,0.51,0.51
GWETROOT,2013,0.48,0.48,0.48,0.48,0.51,0.6,0.61,0.61,0.76,0.73,0.65,0.56,0.58
GWETROOT,2014,0.5,0.48,0.48,0.48,0.5,0.54,0.54,0.54,0.56,0.63,0.58,0.52,0.53
GWETROOT,2015,0.48,0.48,0.48,0.51,0.53,0.57,0.53,0.54,0.56,0.59,0.66,0.62,0.55
GWETROOT,2016,0.53,0.49,0.48,0.48,0.52,0.59,0.6,0.61,0.56,0.52,0.48,0.51,0.53
GWETROOT,2017,0.49,0.48,0.49,0.48,0.52,0.57,0.54,0.62,0.77,0.91,0.82,0.7,0.62
GWETROOT,2018,0.58,0.52,0.49,0.48,0.55,0.58,0.56,0.54,0.56,0.56,0.51,0.49,0.54
GWETROOT,2019,0.48,0.49,0.48,0.48,0.52,0.53,0.53,0.57,0.63,0.72,0.68,0.58,0.56
GWETROOT,2020,0.51,0.48,0.48,0.49,0.5,0.55,0.69,0.73,0.76,0.8,0.75,0.69,0.62
GWETROOT,2021,0.6,0.53,0.48,0.5,0.55,0.6,0.67,0.66,0.67,0.72,0.78,0.74,0.63
GWETROOT,2022,0.62,0.53,0.49,0.5,0.58,0.64,0.66,0.76,0.88,0.86,0.82,0.76,0.68
GWETROOT,2023,0.65,0.54,0.5,0.49,0.55,0.56,0.58,0.55,0.62,0.6,0.57,0.53,0.56
GWETROOT,2024,0.49,0.48,0.47,0.47,0.52,0.61,0.58,0.63,0.6,0.67,0.64,0.64,0.57
GWETROOT,2025,0.56,0.49,0.48,0.49,0.56,0.59,0.56,-999,-999,-999,-999,-999,-999
PRECTOTCORR,2000,0.02,1.79,0,1.71,1.96,2.29,3.98,6.06,7.04,6.69,0.67,0.55,2.73
PRECTOTCORR,2001,0.03,0,0.03,8.21,1.57,1.02,3.37,2.03,8.05,4.29,1.2,0.48,2.52
