Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
01-01-2020 00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
02-01-2020 00:00,43.67,134,6.63,20.28,16.21,10.98,3.41,0.91,21.82,2.07,2.47,NA,NA,NA,NA,22.59,73.64,1.02,97.88,NA,0,NA,720.88,NA
03-01-2020 00:00,30.58,74.42,2.44,15.17,10.04,12.1,3.27,0.96,23.31,2.01,1.55,NA,NA,NA,NA,24.61,66.33,1.4,107.56,NA,0,NA,718.6,NA
04-01-2020 00:00,66.35,155.68,75.8,42.9,94.71,11.75,3.26,2.54,29.7,2.15,2.42,NA,NA,NA,NA,24.86,62.16,1.29,167.92,NA,0,NA,717.08,NA
05-01-2020 00:00,48,99.13,1.89,18.56,11.4,9.79,2.95,1.14,31.01,2.02,1.2,NA,NA,NA,NA,25.66,59.3,2.11,96.21,NA,0,NA,716.52,NA
06-01-2020 00:00,23.75,63.34,3.9,17.21,12.32,7.4,2.82,1.08,25.82,2,1.07,NA,NA,NA,NA,23.97,68.04,1.81,82.69,NA,0,NA,719.31,NA
07-01-2020 00:00,24.67,72,4.22,17.2,12.44,7.66,2.97,0.98,30.37,2.01,1.05,NA,NA,NA,NA,23.32,68.49,1.81,84.77,NA,0,NA,718.78,NA
08-01-2020 00:00,34.18,79.06,1.97,18.16,11.11,9.35,2.99,0.99,29.61,1.82,1.33,NA,NA,NA,NA,23.75,64.03,1.63,99.57,NA,0,NA,718.03,NA
09-01-2020 00:00,41.61,98,5.2,21.49,15.15,11.21,2.98,1.11,30.97,2.01,1.65,NA,NA,NA,NA,23.77,62.34,1.41,89.67,NA,0,NA,717.67,NA
10-01-2020 00:00,38.95,97.7,2.94,19.77,13,12.8,3.34,0.97,31.89,1.88,1.98,NA,NA,NA,NA,24.08,52.93,2.15,80.79,NA,0,NA,718.51,NA
11-01-2020 00:00,34.05,77.56,3.34,21.34,14.06,12.08,3.07,1.01,34.36,1.56,1.83,NA,NA,NA,NA,22.11,62.43,2.08,76.49,NA,0,NA,721.37,NA
12-01-2020 00:00,39.12,75.93,4.14,17.88,13.05,16.07,2.96,0.96,44.84,1.5,1.81,NA,NA,NA,NA,22.09,66.53,1.85,83.12,NA,0,NA,718.61,NA
13-01-2020 00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
14-01-2020 00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
15-01-2020 00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
16-01-2020 00:00,38,93,3.9,45.15,27.15,11.95,3.95,0.68,16.18,1.5,1.8,NA,NA,NA,NA,24.77,61.67,1,69.33,NA,0,NA,718,NA
17-01-2020 00:00,42.96,112.6,42.59,30.73,45.74,14.73,3.2,1.38,26.75,1.59,2.51,NA,NA,NA,NA,24.62,57.36,1.41,91.26,NA,0,NA,718.66,NA
18-01-2020 00:00,26.8,59,3.43,16.92,11.78,11.34,3.18,1.02,31.02,1.5,1.74,NA,NA,NA,NA,22.84,73.5,2.48,80,NA,0,NA,717.83,NA
19-01-2020 00:00,22.19,56.56,2.06,12.35,8.23,8.4,3.19,0.97,39.56,1.54,2.02,NA,NA,NA,NA,24.05,64.48,2.21,88.28,NA,0,NA,718.12,NA
20-01-2020 00:00,34.24,100.22,5.73,26.62,18.51,9.03,3.23,1.1,31.6,1.32,2.57,NA,NA,NA,NA,24.64,56.95,1.74,96.67,NA,0,NA,719.05,NA
21-01-2020 00:00,37.5,102.51,9.01,33.74,24.24,9.73,3.25,1.16,29.45,1.31,2.55,NA,NA,NA,NA,23.38,56.41,1.97,78.18,NA,0,NA,720.32,NA
22-01-2020 00:00,34.48,86.75,4.2,26.2,17.47,9.86,3.22,1.11,34.25,1.3,2.87,NA,NA,NA,NA,22.12,68.28,2.09,86.75,NA,0,NA,720.57,NA
23-01-2020 00:00,46.65,98.18,4.25,20.54,14.3,9.95,3.19,1.09,33.52,1.31,2.86,NA,NA,NA,NA,23.13,66.83,2.09,83.23,NA,0,NA,725.11,NA
24-01-2020 00:00,38.05,96.7,11.19,40.46,30.04,8.42,2.87,1.16,40.62,1.29,3.01,NA,NA,NA,NA,24.78,45.29,1.6,83.02,NA,0,NA,721.73,NA
25-01-2020 00:00,48.78,112.69,23,41.56,40.8,9.77,2.86,1.26,29.72,1.32,2.9,NA,NA,NA,NA,23,44.31,1.24,86.05,NA,0,NA,718.85,NA
26-01-2020 00:00,51.86,111.57,25.81,41.8,43.39,12.05,2.81,1.29,25.68,1.29,2.89,NA,NA,NA,NA,22.45,50.65,1.22,82.49,NA,0,NA,730.24,NA
27-01-2020 00:00,74.23,169.38,165.11,48.11,120.65,15.29,2.88,1.97,25.19,1.39,3.43,NA,NA,NA,NA,21.58,60.57,1.48,77.29,NA,0,NA,718,NA
28-01-2020 00:00,61.95,162.59,26.62,53.65,49.65,12.5,2.89,1.62,24.9,1.37,3.8,NA,NA,NA,NA,26.52,42.65,1.48,155.22,NA,0,NA,718.24,NA
29-01-2020 00:00,59.67,140.87,7.94,40.89,30.45,12.73,2.78,1.39,25.4,1.33,3.35,NA,NA,NA,NA,25.69,47.94,1.48,142.29,NA,0,NA,718.67,NA
30-01-2020 00:00,72.46,191.19,89.03,63.83,101.68,13.42,2.83,1.93,24.72,1.4,3.83,NA,NA,NA,NA,25.45,47.77,1.21,143.49,NA,0,NA,717.88,NA
31-01-2020 00:00,53.61,133.86,4.26,33.53,21.23,12.63,2.91,1.31,36.37,1.31,3.01,NA,NA,NA,NA,26.74,44.33,1.75,115.65,NA,0,NA,716.02,NA
01-02-2020 00:00,57.62,112.99,1.41,16.11,9.72,12.28,3.17,0.99,40.39,1.27,2.74,NA,NA,NA,NA,23.95,60.64,1.82,97.02,NA,0,NA,719.96,NA
02-02-2020 00:00,41.16,82,1.19,11.26,6.94,9.53,2.82,0.9,30.25,1.23,2.61,NA,NA,NA,NA,22.72,65.11,2.04,96.34,NA,0,NA,719.57,NA
03-02-2020 00:00,36.32,89.84,7.8,26.36,18.86,8.44,2.73,1.06,36.14,0.98,2.63,NA,NA,NA,NA,23.08,56.37,1.73,77.39,NA,0,NA,719.32,NA
04-02-2020 00:00,34.42,90.27,3.15,20.24,13.4,8.8,2.58,1.06,37.66,0.79,2.26,NA,NA,NA,NA,23.65,54.12,1.88,91.24,NA,0,NA,721.29,NA
05-02-2020 00:00,34.2,82.97,2.9,19.62,12.79,8.91,2.66,1.04,34.19,0.62,2,NA,NA,NA,NA,24.16,58.69,1.7,102.29,NA,0,NA,718.5,NA
06-02-2020 00:00,45.36,101.46,6.69,30.66,21.75,9.39,2.62,1.28,32.46,0.63,2.22,NA,NA,NA,NA,23.7,57.77,1.26,124.79,NA,0,NA,718.08,NA
07-02-2020 00:00,60.29,132.17,10.53,35.42,26.5,10.61,2.87,1.29,36.41,0.66,2.83,NA,NA,NA,NA,24.74,57.12,1.48,134.72,NA,0,NA,718.16,NA
08-02-2020 00:00,56.24,133.18,16.61,33.64,29.94,10.11,2.66,1.38,34.83,0.7,2.39,NA,NA,NA,NA,24.12,59.15,1.32,126.42,NA,0,NA,718.61,NA
09-02-2020 00:00,42.09,85.5,1.87,15.75,9.82,9.15,2.91,0.96,43.23,0.6,1.91,NA,NA,NA,NA,24.38,58.72,1.74,96.31,NA,0,NA,718.59,NA
10-02-2020 00:00,36.13,84.37,2.28,17.08,10.71,8.11,2.66,1.02,35.28,0.62,2.03,NA,NA,NA,NA,23.44,64.81,2.43,94.41,NA,0,NA,731.94,NA
11-02-2020 00:00,38,95.19,3.59,26.81,17.28,7.61,2.66,1.09,36.65,0.66,2.34,NA,NA,NA,NA,25.01,52.85,2.52,99.54,NA,0,NA,747.14,NA
12-02-2020 00:00,37.86,85.53,3.64,21.52,14.92,7.51,2.67,1.02,31.28,0.7,2.29,NA,NA,NA,NA,23.05,64.09,3.02,110.15,NA,0,NA,727.34,NA
13-02-2020 00:00,39.13,100.44,21.65,39.89,37.56,7.81,2.75,1.28,38.64,0.73,2.6,NA,NA,NA,NA,26.25,47.54,1.78,97.24,NA,0,NA,719.24,NA
14-02-2020 00:00,52.4,125.07,33.13,49.16,53.08,10.45,2.7,1.87,40.61,0.76,2.74,NA,NA,NA,NA,25.84,49.67,1.16,110.78,NA,0,NA,717.8,NA
15-02-2020 00:00,56.35,130.38,38.07,55.33,60.38,10.87,2.78,1.62,33.98,0.75,2.69,NA,NA,NA,NA,25.79,39.73,1.16,95.4,NA,0,NA,717.62,NA
16-02-2020 00:00,41.71,91.29,10.05,38.35,28.56,9.35,2.83,1.12,34.55,0.71,2.38,NA,NA,NA,NA,26.25,33.12,1.52,84,NA,0,NA,718.67,NA
17-02-2020 00:00,44.28,101.74,25.74,41.7,43.1,10.65,2.76,1.43,47.27,0.72,2.5,NA,NA,NA,NA,24.38,42.79,1.62,77.47,NA,0,NA,719.53,NA
18-02-2020 00:00,43.68,95.16,8.23,34.38,24.99,10.76,2.73,1.15,51.71,0.7,2.33,NA,NA,NA,NA,29.92,46.42,1.6,79.26,NA,0,NA,718.97,NA
19-02-2020 00:00,45.45,99.09,4.37,32.09,20.63,10.61,2.61,1.03,34.7,0.7,2.35,NA,NA,NA,NA,29.35,51.47,1.73,82.98,NA,0,NA,718.66,NA
20-02-2020 00:00,48.49,101.79,7.4,29.29,21.6,11.29,2.75,1.02,30.09,0.71,2.31,NA,NA,NA,NA,23.99,53.11,1.9,82.68,NA,0,NA,718.23,NA
21-02-2020 00:00,30.5,67.75,3.65,19.38,13.28,10.48,2.54,0.94,38.24,0.7,2.23,NA,NA,NA,NA,23.84,57.69,1.79,86.23,NA,0,NA,719.63,NA
22-02-2020 00:00,33.7,79.15,3.05,17.87,11.98,11.04,2.55,0.96,41.95,0.52,2.48,NA,NA,NA,NA,24.68,57.24,2,82.11,NA,0,NA,720.37,NA
23-02-2020 00:00,37.16,86.35,1.6,12.62,8.02,10.23,2.6,1,33.31,0.4,2.59,NA,NA,NA,NA,24.39,59.98,1.78,86.2,NA,0,NA,719.84,NA
24-02-2020 00:00,38.52,94,1.74,15.02,9.41,9,2.55,1.08,32.83,0.38,2.65,NA,NA,NA,NA,24.22,59.72,1.76,89.45,NA,0,NA,717.62,NA
25-02-2020 00:00,42.18,108.38,3.4,28.13,17.73,9.96,2.62,1.1,38.66,0.44,2.55,NA,NA,NA,NA,26.12,50.64,1.5,113.91,NA,0,NA,716.24,NA
26-02-2020 00:00,35.6,94.6,2.48,18.75,11.99,9.46,2.56,1.09,35.5,0.95,1.16,NA,NA,NA,NA,25.87,55.36,1.65,95,NA,0,NA,716.49,NA
27-02-2020 00:00,38.76,102.95,7.63,30.46,22.42,9.43,2.58,1.24,34.7,0.66,1.1,NA,NA,NA,NA,25.82,54.69,1.63,89.6,NA,0,NA,717.09,NA
28-02-2020 00:00,39.33,94.53,5.97,25.47,18.4,9.72,2.56,1.2,30.82,0.64,1.04,NA,NA,NA,NA,25.14,57.98,1.9,87.9,NA,0,NA,716.16,NA
29-02-2020 00:00,37.66,96.49,6.43,23.04,17.49,9.38,2.58,1.16,39.89,0.61,1.05,NA,NA,NA,NA,25.87,53.83,1.75,95.98,NA,0,NA,716.02,NA
01-03-2020 00:00,43.51,96.91,2.16,15.49,9.99,9.34,2.69,1.08,49.64,0.61,0.96,NA,NA,NA,NA,25.77,57.34,1.76,94.06,NA,0,NA,716.38,NA
02-03-2020 00:00,63.49,137.43,13.36,33.66,28.76,10.04,2.67,1.48,32.05,0.66,1.29,NA,NA,NA,NA,25.01,61.47,1.4,138.69,NA,0,NA,717.22,NA
03-03-2020 00:00,76.92,178.58,32.96,42.02,49.16,11.46,2.69,1.88,30.56,0.72,1.69,NA,NA,NA,NA,26.63,53.81,1.23,134.75,NA,0,NA,716.81,NA
04-03-2020 00:00,64.23,150.84,44.92,53.35,64.89,11.33,2.74,1.97,39.68,0.73,1.75,NA,NA,NA,NA,27.09,53.52,1.41,199.24,NA,0,NA,716.39,NA
05-03-2020 00:00,52.51,130.1,8.12,34.06,24.71,11.65,2.77,1.42,32.75,0.66,1.26,NA,NA,NA,NA,26.71,54.82,1.7,155.53,NA,0,NA,715.35,NA
06-03-2020 00:00,26.76,98.67,10.94,34.37,27.17,10.08,2.54,1.35,55.93,0.62,1.19,NA,NA,NA,NA,27.41,54.93,1.7,180.53,NA,0,NA,715.47,NA
07-03-2020 00:00,37.77,105.82,7.71,24.58,19.34,13.25,2.65,1.26,31.2,0.64,1.3,NA,NA,NA,NA,26.39,61.53,1.56,142.76,NA,0,NA,717.27,NA
08-03-2020 00:00,26.61,79.84,2,13.73,8.94,13.01,2.58,1.1,32,0.6,1.11,NA,NA,NA,NA,27.18,57.39,1.62,118.37,NA,0,NA,716.45,NA
09-03-2020 00:00,29.22,91.32,9.77,22.92,20.14,11.76,2.55,1.17,33,0.63,1.11,NA,NA,NA,NA,26.56,62.5,1.52,144.22,NA,0,NA,715.82,NA
10-03-2020 00:00,30.92,91.06,2.82,18.66,12.22,11.01,2.69,1.11,36.54,0.6,1.13,NA,NA,NA,NA,27.39,52.86,1.64,128.69,NA,0,NA,715.76,NA
11-03-2020 00:00,30.5,98.56,6.6,24.55,18.42,9.72,2.72,1.22,31.37,0.62,1.18,NA,NA,NA,NA,27.51,47.47,1.56,134.18,NA,0,NA,716.56,NA
12-03-2020 00:00,30.24,92.55,13.5,26.87,25.26,9.04,2.63,1.21,27.17,0.62,1.16,NA,NA,NA,NA,27.4,47.31,1.56,157.02,NA,0,NA,717.57,NA
13-03-2020 00:00,28.75,90.92,12.37,20.58,21,9.52,2.67,1.1,26.04,0.62,1.09,NA,NA,NA,NA,27.16,46.37,1.53,105.5,NA,0,NA,717.65,NA
14-03-2020 00:00,27.26,79.28,4.31,18.21,13.19,8.82,2.56,1.03,22.38,0.61,1.1,NA,NA,NA,NA,27.33,46.76,1.39,105.47,NA,0,NA,716.62,NA
15-03-2020 00:00,25.74,76.92,1.95,17.2,10.73,10.36,2.63,1,25.31,0.6,0.97,NA,NA,NA,NA,27.35,50.18,1.72,93.72,NA,0,NA,716.46,NA
16-03-2020 00:00,20.83,68.97,1.4,10.79,6.88,8.43,2.62,0.91,31.16,0.6,0.98,NA,NA,NA,NA,26.94,52.85,1.82,98.9,NA,0,NA,717.78,NA
17-03-2020 00:00,22.98,70.57,2.09,9.79,6.91,7.7,2.58,0.92,32.87,0.6,0.97,NA,NA,NA,NA,26.54,52.21,2.07,95.06,NA,0,NA,719,NA
18-03-2020 00:00,30.67,63.14,1.8,12.04,7.86,8.47,2.6,0.96,38.53,0.61,1.04,NA,NA,NA,NA,26.87,45.47,1.73,99.16,NA,0,NA,718.28,NA
19-03-2020 00:00,40.36,91,11.12,24.7,22.17,9.96,2.76,1.21,41.7,0.63,1.24,NA,NA,NA,NA,27.92,44.3,1.23,139.87,NA,0,NA,717.4,NA
20-03-2020 00:00,37.92,80.32,5.4,26.21,18.32,11.24,2.63,1.21,43.45,0.81,1.47,NA,NA,NA,NA,25.87,62.58,1.75,155.91,NA,0,NA,716.92,NA
21-03-2020 00:00,39.7,88.94,19.66,38.41,36.41,9,2.44,1.47,28.74,1.01,2.01,NA,NA,NA,NA,27.81,51.72,1.14,161.77,NA,0,NA,716.55,NA
